الترتيب,اسم التطبيق (عربي),اسم التطبيق (إنجليزي),نوع الوحدة,الحد الأدنى,سعر الحد الأدنى (دولار),سعر الوحدة الواحدة (دولار)
34,بوتا لايف,Pota Live,ماسة,40000,1.059,0.0000
35,سلام شات,Salam Chat,ماسة,10000,0.095,0.0000
36,يويو شات,YoYo Chat,ماسة,1000,0.748,0.0007
37,ينا شات,Yena Chat,ماسة,33000,1.129,0.0000
38,بات لايف,Bat Live,ماسة,10000,1.078,0.0001
39,يوكي شات,Yuki Chat,ماسة,20000,1.275,0.0001
40,ويجو بارتي,Wigo Party,ماسة,10000,0.864,0.0001
41,كوكو شات,CoCo Chat,ماسة,8000,0.812,0.0001
42,تانغو لايف,Tango Live,ماسة,200,1.053,0.0053
43,سوبر لايف,Super Live,ماسة,150,1.073,0.0072
44,سويو,Suyo,ماسة,1000,0.083,0.0001
45,هيا شات,Heya Chat,ماسة,800,0.878,0.0011
46,فور فون شات,4Fun Chat,ماسة,16000,1.032,0.0001
47,هوني جار,HoneyJar,ماسة,200,1.598,0.0080
48,ميجو لايف,Meejo Live,ماسة,10000,1.104,0.0001
49,ازال لايف,Azal Live,ماسة,1000,0.819,0.0008
50,ايومي شات,Ayomi Chat,ماسة,1000,0.975,0.0010
51,لاما شات,Lama Chat,ماسة,3000,1.075,0.0004
52,عمار شات,Ammar Chat,ماسة,2000,1.705,0.0009
53,اهلن شات,Ahlan Chat,ماسة,2500,0.841,0.0003
54,ليغو لايف,Ligo Live,ماسة,1000,1.266,0.0013
55,تالك تالك,Talk Talk,ماسة,1500,1.287,0.0009
56,بينمو شات,Binmo Chat,ماسة,2500,1.088,0.0004
57,حكي شات,Haki Chat,ماسة,1000,0.78,0.0008
58,سول شات,Soul Chat,ماسة,6000,0.931,0.0002
59,تادت شات,Tadat Chat,ماسة,1000,1.267,0.0013
60,هيوكي,Hioki,ماسة,18000,0.956,0.0001
61,هوا شات,Hawa Chat,ماسة,1000,0.586,0.0006
62,اولاميت,Ulameet,ماسة,8000,1.195,0.0001
63,تاكا شات,Taka Chat,ماسة,10000,1.055,0.0001
64,يووي شات,Yowy Chat,ماسة,10000,0.975,0.0001
65,هيغو لايف,Higo Live,ماسة,1000,1.099,0.0011
66,توب توب,Top Top,ماسة,8000,0.57,0.0001
67,دانا شات,Dana Chat,ماسة,22000,0.949,0.0000
68,نوا لايف,Nova Live,ماسة,8000,0.91,0.0001
69,1ستار شات,1Star Chat,ماسة,5000,0.525,0.0001
70,فانسي لايف,Fancy Live,ماسة,10000,0.61,0.0001
71,لايت شات,Lite Chat,ماسة,5000,1.672,0.0003
72,يوهو ستار,Yoho Star,ماسة,20000,0.901,0.0000
73,هامي بارتي,Hami Party,ماسة,10000,1.013,0.0001
74,سهرة شات,Sahra Chat,ماسة,1500,1.151,0.0008
75,هوبي,Hobbi,ماسة,10000,0.804,0.0001
76,اورتالك,Ourtalk,ماسة,33000,0.867,0.0000
77,وادي شات,Wadi Chat,ماسة,20000,1.229,0.0001
78,سوبر ميت,Super Meet,ماسة,1000,0.155,0.0002
79,طيب شات,Tayyib Chat,ماسة,1000,0.001,0.0000
80,روكا لايف,Roka Live,ماسة,50000,0.844,0.0000
81,غالا ستار,Gala Star,ماسة,1000,0.277,0.0003
82,كارني لايف,Karny Live,ماسة,1000,0.7,0.0007
83,لايام شات,Layam Chat,ماسة,20000,1.123,0.0001
84,هاي بلاي,Hi Play,ماسة,1000,0.942,0.0009
85,ليونز شات,Lions Chat,ماسة,7000,0.877,0.0001
86,هلا مي,Hala Me,ماسة,15000,1.343,0.0001
87,مرحبا شات,Marhaba Chat,ماسة,1000000,0.728,0.0000
88,يوبي لايف,Yobi Live,ماسة,5000,5.679,0.0011
89,عمو شات,Ammo Chat,ماسة,15000,0.974,0.0001
90,ديتو لايف,Ditto Live,ماسة,3000,0.85,0.0003
91,ايفن شات,Even Chat,ماسة,8500,0.834,0.0001
92,كواي,Kwai,ماسة,200,2.171,0.0109
93,بارتي هيرو,Party Hero,ماسة,50,0.918,0.0184
94,غرد شات,Ghared Chat,ماسة,10000,0.949,0.0001
95,7ستار,7Star,ماسة,3500,0.659,0.0002
96,ديمو شات,Demo Chat,ماسة,500,0.477,0.0010
97,بيلا شات,Bella Chat,ماسة,500,0.447,0.0009
98,سول يو,Soul You,ماسة,100,0.008,0.0001
99,لامي شات,Lami Chat,ماسة,1000,0.287,0.0003
100,كيتي,Kitty,ماسة,1000,0.79,0.0008
101,سكاي شات,Sky Chat,ماسة,1000,1.141,0.0011
102,هابي شات,Happy Chat,ماسة,1000,0.491,0.0005
103,بوبو شات,Bobo Chat,ماسة,10000,0.484,0.0000
104,دريم شات,Dream Chat,ماسة,50,0.066,0.0013
105,الو شات,Allo Chat,ماسة,500,0.043,0.0001
106,وياك شات,Wyak Chat,ماسة,500000,1.15,0.0000
107,جولد شات,Gold Chat,ماسة,1000,1.187,0.0012
108,مانغو لايف,Mango Live,ماسة,500,0.125,0.0003
109,بيكا ستار,Pika Star,ماسة,1000,0.847,0.0008
110,ليسكي,Lisky,ماسة,1000,0.041,0.0000
111,باوا لايف,Bawa Live,ماسة,10000,0.853,0.0001
112,ماذا شات,Maza Chat,ماسة,15000,0.974,0.0001
113,سايا لايكي,Saya Likee,ماسة,5000,0.887,0.0002
114,لاكي شات,Lucky Chat,ماسة,12500,0.638,0.0001
115,كيسميت,Kismet,ماسة,4000,0.6,0.0002
116,اشا لايف,Asha Live,ماسة,10000,1.169,0.0001
117,فون ستار,Phone Star,ماسة,8000,0.993,0.0001
118,لادو شات,Lado Chat,ماسة,1000,0.936,0.0009
119,فون اب,Phone App,ماسة,8000,0.84,0.0001
120,يودو فون,Yodo Phone,ماسة,10000,0.442,0.0000
121,يو بارتي,You Party,ماسة,5500,1.128,0.0002
122,واكي ستار,Waki Star,ماسة,1000000,0.789,0.0000
123,اب فون,Up Phone,ماسة,30000,1.317,0.0000
124,جاكو,Jaco,ماسة,600,8.484,0.0141
125,سعادة لايف,Saada Live,ماسة,1000,1.1,0.0011
126,مزيون شات,Mazyon Chat,ماسة,10000,1.38,0.0001
127,سالا شات,Sala Chat,ماسة,10000,1.229,0.0001
128,بولي شات,Poly Chat,ماسة,10000,0.972,0.0001
129,جويو لايف,Joyou Live,ماسة,10000,1.122,0.0001
130,هاغو شات,Hago Chat,ماسة,50,0.005,0.0001
131,جاميت شات,Gamit Chat,ماسة,10000,1.075,0.0001
132,هامستر شات,Hamster Chat,ماسة,10000,10.808,0.0011
133,Lotfun Chat,Lotfun Chat,ماسة,1000,0.096,0.0001
134,يولو شات,Yolo Chat,ماسة,1000,0.187,0.0002
135,يومي شات,Yomi Chat,ماسة,40000,0.896,0.0000
136,هوكي,Hoki,ماسة,1000,0.122,0.0001
137,هاتي شات,Hati Chat,ماسة,1000,0.181,0.0002
138,فيفي بارتي,Fifi Party,ماسة,15000,1.807,0.0001
139,هيلا شات,Hila Chat,ماسة,5000,1.113,0.0002
140,وصلة شات,Wasla Chat,ماسة,1000,0.325,0.0003
141,وهو شات,Woho Chat,ماسة,10000,0.908,0.0001
142,وي شيل,We Shell,ماسة,12000,1.018,0.0001
143,يوسو فارم,Yuso Farm,ماسة,1000,0.118,0.0001
144,كرش لايف,Crush Live,ماسة,10000,1.081,0.0001
145,ويستار,Wistar,ماسة,1000,1.066,0.0011
146,هابي عربي,Happy Arabic,ماسة,700000,0.774,0.0000
147,زار شات,Zar Chat,ماسة,25000,1.053,0.0000
148,يوتو,Yoto,ماسة,60000,1.13,0.0000
149,مانغو ستار,Mango Star,ماسة,5000,1.257,0.0002
150,سوالفنا,Swalfna,ماسة,50000,5.314,0.0001
151,لكلك لايف,Lkalk Live,ماسة,800,0.793,0.0010
152,اريا شات,Aria Chat,ماسة,15000,1.703,0.0001
153,فوستار شات,Foustar Chat,ماسة,200000,0.937,0.0000
154,بي كي ستار,BK Star,ماسة,8000,1.008,0.0001
155,دولي لايف,Doly Live,ماسة,5000,0.387,0.0001
156,ديكا لايف,Deka Live,ماسة,60000,0.874,0.0000
157,انفون شات,Infon Chat,ماسة,1000,0.091,0.0001
158,نادي ستار,Nadi Star,ماسة,20000,24412.955,1.2206
159,سيلا,Sila,ماسة,1600,1.05,0.0007
160,بوكيت شات,Pocket Chat,ماسة,10000,2.319,0.0002
161,ساهي شات,Sahi Chat,ماسة,9200,1.071,0.0001
162,فون,Phone,ماسة,1000,0.109,0.0001
163,وينكو,Winko,ماسة,5000,1.208,0.0002
164,اوهلا 2 شات,Ohhla 2 Chat,ماسة,5000,1.213,0.0002
165,يايا,Yaya,ماسة,25000,2.354,0.0001
166,شاتا شات,Shata Chat,ماسة,5000,1.196,0.0002
167,نيو شات,New Chat,ماسة,100000,0.941,0.0000
168,بيست لايف,Best Live,ماسة,500000,0.964,0.0000
169,صوفيا شات,Sofia Chat,ماسة,25000,1.217,0.0000
170,زافا لايف,Zafa Live,ماسة,55000,0.875,0.0000
171,ميكوو 2 شات,Mikoo 2 Chat,ماسة,20000,0.792,0.0000
172,نحكي شات,Nahki Chat,ماسة,9000,0.984,0.0001
173,روح شات,Rouh Chat,ماسة,4000,0.356,0.0001
174,شباب شات,Shabab Chat,ماسة,39000,0.935,0.0000
